gid,pid,detail,no_play,off,def,type,psr,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,back,hash,mot,box,pap,trick,qbp,qbhi,qbhu,qbru,sneak,scrm,htm,pru,blz,oop,oopd,cov_type,cnb,cball,qbta,high,crr,intw,drp,avsk,fread,scre,mbt,ttp,qbsk,ttpr,dot,yac,yaco,sep,qb_pos,inc_type,rte,read,concept,rmod,pres1_type,pres1_def,pres1_off,pres2_type,pres2_def,pres2_off,pres3_type,pres3_def,pres3_off,mt1_def,mt1_type,mt1_cause,mt2_def,mt2_type,mt2_cause,mt3_def,mt3_type,mt3_cause,pri_def,sec_def,shell,rpo,trg_sep,bb_off1,bb_def1,bb_off2,bb_def2,bb_off3,bb_def3,stunt,db_count,pru_show,blz1,blz2,blz3,blz4,pshell,bc_read
7019,1153342,8-A.Borregales kicks 63 yards from NE 35 to SEA 2. 22-R.Shaheed to SEA 24 for 22 yards (48-N.Obiazor).,FALSE,SEA,NE,KOFF,,,,1,NE 35,0,0,65,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7019,1153343,(14:55) 8-J.Price right tackle to SEA 37 for 13 yards (31-K.Byard; 91-E.Ponder).,FALSE,SEA,NE,RUSH,,,00-0041512,1,SEA 24,1,10,24,2,13,1,1,0,0,0,0,2,L,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,5,,U,,,,Outside Zone,,,,,,,,,,,00-0040716,2ND,PW,,,,,,,,,,0,,,,,,,,0,5,0,,,,,,Cutback
7019,1153344,(14:17) 14-S.Darnold pass short middle to 11-J.Smith-Njigba to 50 for 13 yards (14-R.Spillane).,FALSE,SEA,NE,PASS,00-0034869,00-0038543,,1,SEA 37,1,10,37,2,13,1,1,0,0,1,0,1,L,1,7,1,0,0,0,0,0,0,0,0,4,0,0,,,0,1,0,0,0,0,0,0,1,0,0,2.5,0,NA,11,2,3,CLS,U,,5 - In/Dig,1,,,,,,,,,,,,,,,,,,,,,00-0034720,,4,0,2,,,,,,,0,5,4,,,,,Closed,
7019,1153345,"(13:32) PENALTY on SEA-81-E.Saubert, False Start, 5 yards, enforced at 50 - No Play.",TRUE,SEA,NE,NOPL,,,,1,MID 50,1,10,50,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7019,1153346,(13:09) (Shotgun) 36-G.Holani up the middle to NE 46 for 9 yards (94-C.Durden; 14-R.Spillane).,FALSE,SEA,NE,RUSH,,,00-0039299,1,SEA 45,1,15,45,3,9,1,0,1,0,0,0,1,L,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,4,,S,,,,Draw,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5,0,,,,,,Tar Ang/Gap
7019,1153347,(12:30) (Shotgun) 14-S.Darnold pass incomplete short right to 22-R.Shaheed.,FALSE,SEA,NE,PASS,00-0034869,00-0037545,,1,NE 46,2,6,54,3,0,0,0,1,0,0,0,1,L,1,6,0,0,0,0,0,0,0,0,0,4,0,0,,,0,0,0,0,0,0,0,0,1,0,0,1.7,0,NA,4,NA,NA,TCV,S,IAT,3 - Hitch/Curl,1,,,,,,,,,,,,,,,,,,,,,00-0034778,,2,0,0,,,,,,,0,5,4,,,,,Open,
7019,1153348,(12:27) (Shotgun) 14-S.Darnold sacked at SEA 49 for -5 yards (5-D.Jones). SEA-14-S.Darnold was injured during the play.,FALSE,SEA,NE,PASS,00-0034869,,,1,NE 46,3,6,54,3,-5,0,0,1,0,0,0,1,L,1,6,0,0,1,1,0,0,0,0,0,6,2,1,P,,0,0,0,0,0,0,0,0,0,0,0,NA,0,4.2,NA,NA,NA,,S,,,,,,P,00-0035678,00-0037812,,,,,,,,,,,,,,,,,,1,0,,,,,,,,0,5,6,00-0034720,00-0036813,,,Closed,
7019,1153349,"(11:49) 4-M.Dickson punts 43 yards to NE 8, Center-41-C.Stoll, fair catch by 25-M.Jones.",FALSE,SEA,NE,PUNT,,,,1,SEA 49,4,11,49,3,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
7019,1153350,(11:42) 38-R.Stevenson up the middle to NE 11 for 3 yards (0-D.Lawrence; 32-D.Thomas).,FALSE,NE,SEA,RUSH,,,00-0036875,1,NE 8,1,10,8,1,3,0,0,0,0,0,0,2,R,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,,U,,,,Man/Duo,Lead,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4,0,,,,,,Tar Ang/Gap
7019,1153351,(11:07) 10-D.Maye scrambles up the middle to NE 21 for 10 yards (13-E.Jones; 21-D.Witherspoon).,FALSE,NE,SEA,RUSH,,,00-0039851,1,NE 11,2,7,11,1,10,1,1,0,0,0,0,1,R,1,6,1,0,0,0,0,0,0,1,0,4,0,1,BL,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,U,,,SD,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,0,5,4,,,,,Open,
