"","season","posteam","week","plays","inelg_pass","ill_shift"
"1",2024,"ARI",1,76,0,0
"2",2024,"ARI",2,80,0,0
"3",2024,"ARI",3,72,0,0
"4",2024,"ARI",4,73,0,0
"5",2024,"ARI",5,75,0,0
"6",2024,"ARI",6,75,0,0
"7",2024,"ARI",7,74,0,0
"8",2024,"ARI",8,83,1,0
"9",2024,"ARI",9,73,0,0
"10",2024,"ARI",10,72,0,0
"11",2024,"ARI",12,72,0,0
"12",2024,"ARI",13,103,1,0
"13",2024,"ARI",14,88,0,0
"14",2024,"ARI",15,84,0,0
"15",2024,"ATL",1,70,0,0
"16",2024,"ATL",2,74,0,0
"17",2024,"ATL",3,76,0,0
"18",2024,"ATL",4,73,0,0
"19",2024,"ATL",5,110,0,0
"20",2024,"ATL",6,83,0,0
"21",2024,"ATL",7,93,0,0
"22",2024,"ATL",8,76,0,0
"23",2024,"ATL",9,75,0,0
"24",2024,"ATL",10,94,0,0
"25",2024,"ATL",11,77,0,0
"26",2024,"ATL",13,93,0,0
"27",2024,"ATL",14,91,0,0
"28",2024,"ATL",15,79,0,0
"29",2024,"BAL",1,96,0,0
"30",2024,"BAL",2,89,0,0
"31",2024,"BAL",3,82,0,0
"32",2024,"BAL",4,72,0,0
"33",2024,"BAL",5,95,0,0
"34",2024,"BAL",6,84,0,0
"35",2024,"BAL",7,76,1,0
"36",2024,"BAL",8,88,0,0
"37",2024,"BAL",9,73,0,0
"38",2024,"BAL",10,82,2,0
"39",2024,"BAL",11,79,2,0
"40",2024,"BAL",12,79,0,0
"41",2024,"BAL",13,91,0,0
"42",2024,"BAL",15,73,0,0
"43",2024,"BAL",16,78,0,0
"44",2024,"BUF",1,81,0,0
"45",2024,"BUF",2,61,0,0
"46",2024,"BUF",3,78,1,0
"47",2024,"BUF",4,77,0,0
"48",2024,"BUF",5,82,0,0
"49",2024,"BUF",6,87,0,0
"50",2024,"BUF",7,71,0,0
"51",2024,"BUF",8,94,0,0
"52",2024,"BUF",9,80,0,0
"53",2024,"BUF",10,92,0,0
"54",2024,"BUF",11,88,0,0
"55",2024,"BUF",13,72,0,0
"56",2024,"BUF",14,80,0,0
"57",2024,"BUF",15,91,0,0
"58",2024,"CAR",1,79,0,0
"59",2024,"CAR",2,65,0,0
"60",2024,"CAR",3,93,0,0
"61",2024,"CAR",4,88,0,0
"62",2024,"CAR",5,76,0,0
"63",2024,"CAR",6,86,0,1
"64",2024,"CAR",7,62,0,0
"65",2024,"CAR",8,78,0,0
"66",2024,"CAR",9,72,0,0
"67",2024,"CAR",10,80,0,0
"68",2024,"CAR",12,83,0,0
"69",2024,"CAR",13,90,1,0
"70",2024,"CAR",14,83,0,0
"71",2024,"CAR",15,76,0,0
"72",2024,"CHI",1,76,0,0
"73",2024,"CHI",2,90,0,0
"74",2024,"CHI",3,104,0,0
"75",2024,"CHI",4,79,0,0
"76",2024,"CHI",5,90,0,1
"77",2024,"CHI",6,80,0,1
"78",2024,"CHI",8,81,0,0
"79",2024,"CHI",9,92,0,0
"80",2024,"CHI",10,80,0,0
"81",2024,"CHI",11,86,0,1
"82",2024,"CHI",12,96,0,0
"83",2024,"CHI",13,81,0,0
"84",2024,"CHI",14,68,0,0
"85",2024,"CHI",15,86,0,0
"86",2024,"CIN",1,61,0,0
"87",2024,"CIN",2,81,0,0
"88",2024,"CIN",3,77,0,0
"89",2024,"CIN",4,83,0,0
"90",2024,"CIN",5,92,0,0
"91",2024,"CIN",6,66,0,0
"92",2024,"CIN",7,74,0,0
"93",2024,"CIN",8,71,0,0
"94",2024,"CIN",9,93,1,0
"95",2024,"CIN",10,96,0,0
"96",2024,"CIN",11,103,0,1
"97",2024,"CIN",13,83,0,0
"98",2024,"CIN",14,88,1,0
"99",2024,"CIN",15,90,0,0
"100",2024,"CLE",1,98,1,1
"101",2024,"CLE",2,88,0,2
"102",2024,"CLE",3,82,0,0
"103",2024,"CLE",4,73,0,1
"104",2024,"CLE",5,87,1,0
"105",2024,"CLE",6,76,0,0
"106",2024,"CLE",7,98,1,2
"107",2024,"CLE",8,86,0,0
"108",2024,"CLE",9,96,0,0
"109",2024,"CLE",11,91,0,0
"110",2024,"CLE",12,74,0,0
"111",2024,"CLE",13,109,0,0
"112",2024,"CLE",14,92,0,1
"113",2024,"CLE",15,75,0,0
"114",2024,"DAL",1,85,0,0
"115",2024,"DAL",2,87,1,0
"116",2024,"DAL",3,97,0,0
"117",2024,"DAL",4,72,0,0
"118",2024,"DAL",5,93,0,0
"119",2024,"DAL",6,85,0,0
"120",2024,"DAL",8,81,0,0
"121",2024,"DAL",9,94,0,0
"122",2024,"DAL",10,75,0,0
"123",2024,"DAL",11,100,0,1
"124",2024,"DAL",12,90,0,0
"125",2024,"DAL",13,94,0,0
"126",2024,"DAL",14,77,0,0
"127",2024,"DAL",15,89,0,0
"128",2024,"DEN",1,93,0,0
"129",2024,"DEN",2,77,0,0
"130",2024,"DEN",3,81,0,0
"131",2024,"DEN",4,77,0,0
